CLASS	OCCURSAS
plutonic	
plutonic	pluton
plutonic	dyke
plutonic	sill
plutonic	vein
plutonic	enclave
plutonic	schlieren
plutonic	raft
plutonic	inclusion
plutonic	xenolith
volcanic	flow
volcanic	dyke
volcanic	sill
volcanic	plug
volcanic	enclave
volcanic	schlieren
volcanic	raft
volcanic	inclusion
volcanic	xenolith
volcaniclastic	
volcaniclastic	flow
volcaniclastic	bed
volcaniclastic	clast
volcaniclastic	enclave
volcaniclastic	schlieren
volcaniclastic	raft
volcaniclastic	inclusion
volcaniclastic	xenolith
sedimentary	
sedimentary	bed
sedimentary	lamina
sedimentary	lens
sedimentary	clast
sedimentary	nodule
sedimentary	concretion
sedimentary	dyke
sedimentary	enclave
sedimentary	raft
sedimentary	inclusion
sedimentary	xenolith
metaplutonic	
metaplutonic	pluton
metaplutonic	dyke
metaplutonic	sill
metaplutonic	sheet
metaplutonic	layer
metaplutonic	enclave
metaplutonic	vein
metaplutonic	clast
metaplutonic	schlieren
metaplutonic	raft
metaplutonic	inclusion
metaplutonic	xenolith
metaplutonic	leucosome
metaplutonic	mesosome
metaplutonic	melanosome
metaplutonic	paleosome
metaplutonic	neosome
metavolcanic	
metavolcanic	flow
metavolcanic	dyke
metavolcanic	sill
metavolcanic	plug
metavolcanic	sheet
metavolcanic	layer
metavolcanic	enclave
metavolcanic	clast
metavolcanic	schlieren
metavolcanic	raft
metavolcanic	inclusion
metavolcanic	xenolith
metavolcanic	leucosome
metavolcanic	mesosome
metavolcanic	melanosome
metavolcanic	paleosome
metavolcanic	neosome
metavolcaniclastic	
metavolcaniclastic	flow
metavolcaniclastic	bed
metavolcaniclastic	clast
metavolcaniclastic	sheet
metavolcaniclastic	layer
metavolcaniclastic	enclave
metavolcaniclastic	schlieren
metavolcaniclastic	raft
metavolcaniclastic	inclusion
metavolcaniclastic	xenolith
metavolcaniclastic	leucosome
metavolcaniclastic	mesosome
metavolcaniclastic	melanosome
metavolcaniclastic	paleosome
metavolcaniclastic	neosome
metasedimentary	
metasedimentary	bed
metasedimentary	lamina
metasedimentary	lens
metasedimentary	clast
metasedimentary	nodule
metasedimentary	concretion
metasedimentary	dyke
metasedimentary	sheet
metasedimentary	layer
metasedimentary	enclave
metasedimentary	raft
metasedimentary	inclusion
metasedimentary	xenolith
metasedimentary	leucosome
metasedimentary	mesosome
metasedimentary	melanosome
metasedimentary	paleosome
metasedimentary	neosome
metamorphic	
metamorphic	layer
metamorphic	lens
metamorphic	enclave
metamorphic	pluton
metamorphic	plug
metamorphic	flow
metamorphic	dyke
metamorphic	sill
metamorphic	sheet
metamorphic	bed
metamorphic	lamina
metamorphic	clast
metamorphic	vein
metamorphic	schlieren
metamorphic	raft
metamorphic	inclusion
metamorphic	xenolith
metamorphic	leucosome
metamorphic	mesosome
metamorphic	melanosome
metamorphic	paleosome
metamorphic	neosome
tectonite	
tectonite	layer
tectonite	lens
tectonite	enclave
tectonite	lamina
tectonite	sheet
tectonite	clast
tectonite	raft
tectonite	inclusion
tectonite	xenolith
hydrothermal	
hydrothermal	vein
hydrothermal	layer
hydrothermal	sheet
hydrothermal	lens
hydrothermal	vug fill
hydrothermal	vesicle fill
hydrothermal	clast
hydrothermal	enclave
hydrothermal	raft
hydrothermal	inclusion
hydrothermal	xenolith
