LITHGROUP	LITHTYPE	LITHDETAIL
plutonic	felsic (p)	alaskite
plutonic	felsic (p)	alkali-feldspar granite
plutonic	felsic (p)	alkali-feld quartz syen
plutonic	felsic (p)	alkali-feldspar syenite
plutonic	felsic (p)	aplite
plutonic	felsic (p)	charnockite
plutonic	felsic (p)	granite
plutonic	felsic (p)	granitic pegmatite
plutonic	felsic (p)	granodiorite
plutonic	felsic (p)	mangerite
plutonic	felsic (p)	monzogranite
plutonic	felsic (p)	monzonite
plutonic	felsic (p)	quartz monzonite
plutonic	felsic (p)	quartz syenite
plutonic	felsic (p)	syenite
plutonic	felsic (p)	syenogranite
plutonic	felsic (p)	tonalite
plutonic	felsic (p)	trondhjemite
plutonic	intermediate (	diorite
plutonic	intermediate (	monzodiorite
plutonic	intermediate (	monzogabbro
plutonic	intermediate (	quartz diorite
plutonic	intermediate (	quartz monzodiorite
plutonic	mafic (p)	anorthosite
plutonic	mafic (p)	diabase
plutonic	mafic (p)	gabbro
plutonic	mafic (p)	mafic lamprophyre
plutonic	mafic (p)	mafic pegmatite
plutonic	mafic (p)	norite
plutonic	mafic (p)	troctolite
plutonic	ultramafic (p)	carbonatite
plutonic	ultramafic (p)	clinopyroxenite
plutonic	ultramafic (p)	dunite
plutonic	ultramafic (p)	harzburgite
plutonic	ultramafic (p)	hornblende clinopyroxen
plutonic	ultramafic (p)	hornblendite
plutonic	ultramafic (p)	kimberlite
plutonic	ultramafic (p)	lherzolite
plutonic	ultramafic (p)	peridotite
plutonic	ultramafic (p)	pyroxenite
plutonic	ultramafic (p)	ultramafic lamprophyre
volcanic	felsic (v)	alkali-feld quartz trac
volcanic	felsic (v)	alkali-feldspar rhyolit
volcanic	felsic (v)	alkali-feldspar trachyt
volcanic	felsic (v)	comendite
volcanic	felsic (v)	dacite
volcanic	felsic (v)	felsic volcanic rock
volcanic	felsic (v)	felsite
volcanic	felsic (v)	pantellerite
volcanic	felsic (v)	pumice
volcanic	felsic (v)	quartz latite
volcanic	felsic (v)	quartz trachyte
volcanic	felsic (v)	rhyodacite
volcanic	felsic (v)	rhyolite
volcanic	felsic (v)	trachyte
volcanic	intermediate (	andesite
volcanic	intermediate (	basaltic andesite
volcanic	intermediate (	boninite
volcanic	intermediate (	diabase
volcanic	intermediate (	intermediate volcanic r
volcanic	intermediate (	latite
volcanic	intermediate (	quartz andesite
volcanic	intermediate (	trachyandesite
volcanic	mafic (v)	basalt
volcanic	mafic (v)	komatiitic basalt
volcanic	mafic (v)	mafic volcanic rock
volcanic	mafic (v)	obsidian
volcanic	mafic (v)	trachybasalt
volcanic	ultramafic (v)	komatiite
volcanic	ultramafic (v)	picrite
volcanic	ultramafic (v)	ultramafic lamprophyre
volcanic	ultramafic (v)	ultramafic volcanic roc
volcanic	porphyry (v)	feldspar porphyry
volcanic	porphyry (v)	feldspar-quartz porphyr
volcanic	porphyry (v)	quartz porphyry
volcanic	porphyry (v)	quartz-feldspar porphyr
volcaniclastic	ash (vc)	ash flow
volcaniclastic	ash (vc)	felsic ash tuff
volcaniclastic	ash (vc)	felsic tuff
volcaniclastic	ash (vc)	intermediate tuff
volcaniclastic	ash (vc)	mafic ash tuff
volcaniclastic	ash (vc)	mafic tuff
volcaniclastic	ash (vc)	pumice
volcaniclastic	ash (vc)	ultramafic ash tuff
volcaniclastic	ash (vc)	ultramafic tuff
volcaniclastic	lapilli (vc)	felsic lapilli tuff
volcaniclastic	lapilli (vc)	intermediate lapilli tu
volcaniclastic	lapilli (vc)	mafic lapilli tuff
volcaniclastic	lapilli (vc)	ultramafic lapilli tuff
volcaniclastic	bombs (vc)	felsic agglomerate
volcaniclastic	bombs (vc)	intermediate agglomerat
volcaniclastic	bombs (vc)	mafic agglomerate
volcaniclastic	bombs (vc)	scoria
volcaniclastic	bombs (vc)	ultramafic agglomerate
volcaniclastic	breccia (vc)	felsic pyroclastic brec
volcaniclastic	breccia (vc)	felsic tuff breccia
volcaniclastic	breccia (vc)	felsic volcanic breccia
volcaniclastic	breccia (vc)	intermed pyroclastic br
volcaniclastic	breccia (vc)	intermediate tuff brecc
volcaniclastic	breccia (vc)	intermediate volcanic b
volcaniclastic	breccia (vc)	mafic pyroclastic brecc
volcaniclastic	breccia (vc)	mafic tuff breccia
volcaniclastic	breccia (vc)	mafic volcanic breccia
volcaniclastic	breccia (vc)	ultramaf pyroclastic br
volcaniclastic	breccia (vc)	ultramafic tuff breccia
volcaniclastic	breccia (vc)	ultramafic volcanic bre
volcaniclastic	breccia (vc)	volcanic breccia
