CLASS	TYPE
plutonic	homogeneous
plutonic	heterogeneous
plutonic	equigranular
plutonic	porphyritic
plutonic	megacrystic
plutonic	pegmatitic
plutonic	phaneritic
plutonic	seriate
plutonic	aplitic
plutonic	granophyric
plutonic	miarolitic
plutonic	diabasic
plutonic	coronitic
plutonic	cumulate
plutonic	fibrous
plutonic	globular
plutonic	ophitic
plutonic	subophitic
plutonic	poikilitic
plutonic	rapakivi
plutonic	relict plutonic
plutonic	spotted
plutonic	stockwork
plutonic	trachytic
plutonic	altered
volcanic	amygdaloidal
volcanic	aphanitic
volcanic	glassy
volcanic	glomerophyric
volcanic	lithophysae
volcanic	perlitic
volcanic	porphyritic
volcanic	pumiceous
volcanic	scoriaceous
volcanic	spherulitic
volcanic	spinifex
volcanic	trachytic
volcanic	variolitic
volcanic	non-vesicular
volcanic	poorly-vesicular
volcanic	moderately-vesicular
volcanic	highly-vesicular
volcanic	pipe vesicles
volcaniclastic	matrix-supported
volcaniclastic	clast-supported
volcaniclastic	poorly sorted
volcaniclastic	moderately sorted
volcaniclastic	well sorted
volcaniclastic	very well sorted
volcaniclastic	flattened
volcaniclastic	jigsaw-fit
volcaniclastic	accretionary lapilli
volcaniclastic	perlitic
volcaniclastic	shard-rich
volcaniclastic	crystal-rich
volcaniclastic	lithic-rich
volcaniclastic	flamme bearing
volcaniclastic	vitriclast bearing
volcaniclastic	pumice bearing
volcaniclastic	scoria bearing
sedimentary	muddy
sedimentary	silty
sedimentary	sandy
sedimentary	conglomeratic
sedimentary	friable
sedimentary	well cemented
sedimentary	visible porosity
sedimentary	vuggy
sedimentary	crystalline
sedimentary	recrystallized
sedimentary	poorly sorted
sedimentary	moderately sorted
sedimentary	well sorted
sedimentary	matrix supported
sedimentary	clast supported
sedimentary	equigranular
sedimentary	fissile
sedimentary	parted
sedimentary	brecciated
sedimentary	veined
sedimentary	mottled
sedimentary	micritic
sedimentary	platy
sedimentary	flaggy
sedimentary	slabby
sedimentary	blocky
metaplutonic	homogeneous
metaplutonic	heterogeneous
metaplutonic	equigranular
metaplutonic	porphyritic
metaplutonic	megacrystic
metaplutonic	pegmatitic
metaplutonic	phaneritic
metaplutonic	seriate
metaplutonic	aplitic
metaplutonic	granophyric
metaplutonic	miarolitic
metaplutonic	diabasic
metaplutonic	coronitic
metaplutonic	cumulate
metaplutonic	fibrous
metaplutonic	globular
metaplutonic	ophitic
metaplutonic	subophitic
metaplutonic	poikilitic
metaplutonic	rapakivi
metaplutonic	relict plutonic
metaplutonic	spotted
metaplutonic	stockwork
metaplutonic	trachytic
metaplutonic	equigranular
metaplutonic	inequigranular
metaplutonic	granoblastic
metaplutonic	porphyroblastic
metaplutonic	porphyroclastic
metaplutonic	hornfelsic
metaplutonic	sugary
metaplutonic	recrystallized
metaplutonic	migmatitic
metaplutonic	fibrous
metaplutonic	spotted
metaplutonic	pitted
metaplutonic	platy
metaplutonic	retrograde
metaplutonic	altered
metavolcanic	amygdaloidal
metavolcanic	aphanitic
metavolcanic	glassy
metavolcanic	glomerophyric
metavolcanic	lithophysae
metavolcanic	perlitic
metavolcanic	porphyritic
metavolcanic	pumiceous
metavolcanic	scoriaceous
metavolcanic	spherulitic
metavolcanic	spinifex
metavolcanic	trachytic
metavolcanic	variolitic
metavolcanic	non-vesicular
metavolcanic	poorly-vesicular
metavolcanic	moderately-vesicular
