MA	MINERALOGY
alteration	chlorite
alteration	sericite
alteration	quartz
alteration	epidote
alteration	clay
alteration	kaolinite
alteration	calcite
alteration	zeolites
alteration	aragonite
alteration	carbonate
alteration	dolomite
alteration	actinolite
alteration	albite
alteration	alunite
alteration	andalusite
alteration	anhydrite
alteration	apatite
alteration	barite
alteration	biotite
alteration	chloritoid
alteration	clinopyroxene
alteration	cordierite
alteration	diaspore
alteration	dumortierite
alteration	fluorite
alteration	garnet
alteration	hematite
alteration	illite
alteration	dickite
alteration	magnetite
alteration	muscovite
alteration	adularia
alteration	k-feldspar
alteration	vuggy quartz
alteration	rutile
alteration	rusty
alteration	scapolite
alteration	smectite
alteration	titanite
alteration	topaz
alteration	tourmaline
alteration	wollastonite
alteration	wairakite
mineralization	arsenopyrite
mineralization	azurite
mineralization	bornite
mineralization	chalcopyrite
mineralization	chalcosite
mineralization	covellite
mineralization	galena
mineralization	magnetite
mineralization	malachite
mineralization	molybdenite
mineralization	pyrite
mineralization	pyrrhotite
mineralization	sphalerite
mineralization	stibnite
mineralization	tetrahedrite
