CLASS	TYPE	DETAIL
planar	primary planar fabric	bedding
planar	primary planar fabric	banding
planar	primary planar fabric	igneous layering
planar	primary planar fabric	igneous layering, pillows
planar	primary planar fabric	flow layering
planar	primary planar fabric	compositional layering
planar	primary planar fabric	cross-bed foreset
planar	primary planar fabric	contact
planar	primary planar fabric	dyke margin
planar	primary planar fabric	sill margin
planar	primary planar fabric	vein margin
planar	joint or fracture	joint
planar	joint or fracture	fracture
planar	joint or fracture	fracture zone margin
planar	fault plane	fault plane, dextral
planar	fault plane	fault plane, sinistral
planar	fault plane	fault plane, reverse
planar	fault plane	fault plane, thrust
planar	fault plane	fault plane, normal
planar	fault plane	fault plane, oblique
planar	fault plane	fault plane, unknown sense
planar	shear band	shear band, dextral
planar	shear band	shear band, sinistral
planar	shear band	shear band, reverse
planar	shear band	shear band, normal
planar	shear band	shear band, unknown sense
planar	shear zone	shear zone, dextral
planar	shear zone	shear zone, sinistral
planar	shear zone	shear zone, reverse
planar	shear zone	shear zone, normal
planar	shear zone	shear zone, dextral-reverse
planar	shear zone	shear zone, dextral-normal
planar	shear zone	shear zone, sinistral-reverse
planar	shear zone	shear zone, sinistral-normal
planar	shear zone	shear zone, unknown sense
planar	axial plane	axial plane
planar	axial plane	axial plane, crenulation
planar	axial plane	axial plane, kink band
planar	axial plane	axial plane, S-kink
planar	axial plane	axial plane, Z-kink
planar	axial plane	axial plane, transpos'n fold
planar	foliation	cleavage
planar	foliation	cleavage, slaty
planar	foliation	cleavage, spaced
planar	foliation	cleavage, crenulation
planar	foliation	schistosity
planar	foliation	gneissosity
planar	foliation	foliation
planar	foliation	foliation, mylonitic
planar	foliation	foliation, transposed bedding
planar	other	other, see comment field
linear	primary lineation	symmetrical ripple crest
linear	primary lineation	asymmetrical ripple paleoflow
linear	primary lineation	imbrication paleoflow
linear	primary lineation	flute
linear	primary lineation	tool mark
linear	primary lineation	prod mark
linear	primary lineation	parting lineation
linear	primary lineation	trough axis
linear	primary lineation	slump fold hinge
linear	primary lineation	slump fold hinge, Z
linear	primary lineation	slump fold hinge, S
linear	primary lineation	igneous flow lineation
linear	fold hinge	fold hinge
linear	fold hinge	fold hinge, soft-sediment
linear	fold hinge	fold hinge, anticline
linear	fold hinge	fold hinge, syncline
linear	fold hinge	fold hinge, antiform
linear	fold hinge	fold hinge, synform
linear	fold hinge	fold hinge, minor S
linear	fold hinge	fold hinge, S crenulation
linear	fold hinge	fold hinge, minor Z
linear	fold hinge	fold hinge, Z crenulation
linear	fold hinge	fold hinge, minor U
linear	fold hinge	fold hinge, U crenulation
linear	fold hinge	fold hinge, crenulation
linear	fold hinge	fold hinge, axis of sheath fold
linear	fold hinge	fold hinge, axis of sheath antiform
linear	fold hinge	fold hinge, axis of sheath synform
linear	intersection lineation	intersection lineation
linear	intersection lineation	intersection, cleav-bed
linear	intersection lineation	intersection, cleav-cleav
linear	fault lineation	fault striae
linear	fault lineation	fault grooves
linear	fault lineation	slickensides
linear	fault lineation	mineral growth fibres
linear	ductile lineation	mineral lineation
linear	ductile lineation	stretching lineation
linear	ductile lineation	boudinage axis
linear	ductile lineation	rodding
linear	ductile lineation	mullions
linear	glacial lineation	glacial striae
linear	glacial lineation	glacial grooves
linear	other	other, see comment field
